,match_id,home_team,away_team,match_date,home_team_defense,away_team_defense
0,22712,Burnley,Bournemouth,2018-05-13,"['MatthewLowton', 'KevinLong', 'JamesTarkowski', 'StephenWard']","['SteveCook', 'NathanAke', 'TyroneMings']"
1,22713,Crystal Palace,West Brom,2018-05-13,"['AaronWanBissaka', 'JamesTomkins', 'MamadouSakho', 'PatrickvanAanholt']","['AllanRomeoNyom', 'CraigDawson', 'AhmedHegazi', 'KieranGibbs']"
2,22714,Huddersfield,Arsenal,2018-05-13,"['FlorentHadergjonaj', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo', 'ChrisLowe']","['HectorBellerin', 'ShkodranMustafi', 'RobHolding', 'SeadKolasinac']"
3,22715,Liverpool,Brighton,2018-05-13,"['TrentAlexanderArnold', 'DejanLovren', 'VirgilvanDijk', 'AndrewRobertson']","['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']"
4,22716,Man Utd,Watford,2018-05-13,"['MatteoDarmian', 'EricBailly', 'MarcosRojo', 'AshleyYoung']","['DarylJanmaat', 'CraigCathcart', 'ChristianKabasele', 'JoseHolebas']"
5,22717,Newcastle,Chelsea,2018-05-13,"['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']","['CesarAzpilicueta', 'AndreasChristensen', 'GaryCahill']"
6,22718,Southampton,Man City,2018-05-13,"['CedricSoares', 'JackStephens', 'MayaYoshida', 'WesleyHoedt', 'RyanBertrand']","['Danilo', 'JohnStones', 'AymericLaporte', 'FabianDelph']"
7,22719,Swansea,Stoke,2018-05-13,"['AngelRangel', 'MikevanderHoorn', 'AlfieMawson', 'MartinOlsson']","['MoritzBauer', 'RyanShawcross', 'KurtZouma', 'ErikPieters']"
8,22720,Spurs,Leicester,2018-05-13,"['KyleWalkerPeters', 'TobyAlderweireld', 'EricDier', 'DannyRose']","['DannySimpson', 'WesMorgan', 'HarryMaguire', 'ChristianFuchs']"
9,22721,West Ham,Everton,2018-05-13,"['DeclanRice', 'AngeloOgbonna', 'AaronCresswell']","['MichaelKeane', 'PhilJagielka', 'RamiroFunesMori']"
10,22651,West Ham,Man Utd,2018-05-04,"['DeclanRice', 'AngeloOgbonna', 'AaronCresswell']","['LuisAntonioValencia', 'VictorLindelof', 'ChrisSmalling', 'PhilJones', 'LukeShaw']"
11,22685,Chelsea,Huddersfield,2018-05-04,"['CesarAzpilicueta', 'AndreasChristensen', 'AntonioRudiger']","['TommySmith', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo', 'ChrisLowe']"
12,22645,Leicester,Arsenal,2018-05-04,"['DannySimpson', 'WesMorgan', 'HarryMaguire', 'ChristianFuchs']","['AinsleyMaitlandNiles', 'RobHolding', 'KonstantinosMavropanos', 'SeadKolasinac']"
13,22647,Man City,Brighton,2018-05-04,"['Danilo', 'VincentKompany', 'AymericLaporte', 'OleksandrZinchenko']","['Bruno', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']"
14,22650,Spurs,Newcastle,2018-05-04,"['KieranTrippier', 'DavinsonSanchez', 'JanVertonghen', 'BenDavies']","['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']"
15,22649,Swansea,Southampton,2018-05-04,"['KyleNaughton', 'FedericoFernandez', 'AlfieMawson']","['JanBednarek', 'JackStephens', 'WesleyHoedt']"
16,22708,Man City,Huddersfield,2018-05-04,"['KyleWalker', 'JohnStones', 'NicolasOtamendi', 'FabianDelph']","['TommySmith', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo', 'ChrisLowe']"
17,22702,Arsenal,Burnley,2018-05-04,"['HectorBellerin', 'CalumChambers', 'KonstantinosMavropanos', 'SeadKolasinac']","['MatthewLowton', 'KevinLong', 'JamesTarkowski', 'StephenWard']"
18,22705,Chelsea,Liverpool,2018-05-04,"['CesarAzpilicueta', 'GaryCahill', 'AntonioRudiger']","['NathanielClyne', 'DejanLovren', 'VirgilvanDijk', 'AndrewRobertson']"
19,22704,Brighton,Man Utd,2018-05-04,"['Bruno', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']","['MatteoDarmian', 'ChrisSmalling', 'MarcosRojo', 'AshleyYoung']"
20,22709,Stoke,Crystal Palace,2018-05-04,"['GlenJohnson', 'RyanShawcross', 'KurtZouma', 'ErikPieters']","['JoelWard', 'JamesTomkins', 'MamadouSakho', 'PatrickvanAanholt']"
21,22703,Bournemouth,Swansea,2018-05-04,"['SimonFrancis', 'SteveCook', 'NathanAke']","['MikevanderHoorn', 'FedericoFernandez', 'AlfieMawson']"
22,22707,Leicester,West Ham,2018-05-04,"['YohanBenalouane', 'WesMorgan', 'HarryMaguire', 'ChristianFuchs']","['DeclanRice', 'AngeloOgbonna', 'AaronCresswell']"
23,22710,Watford,Newcastle,2018-05-04,"['DarylJanmaat', 'CraigCathcart', 'ChristianKabasele', 'JoseHolebas']","['JavierManquillo', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']"
24,22711,West Brom,Spurs,2018-05-04,"['AllanRomeoNyom', 'CraigDawson', 'AhmedHegazi', 'KieranGibbs']","['TobyAlderweireld', 'DavinsonSanchez', 'JanVertonghen']"
25,22706,Everton,Southampton,2018-05-04,"['SeamusColeman', 'PhilJagielka', 'MichaelKeane', 'LeightonBaines']","['JanBednarek', 'MayaYoshida', 'WesleyHoedt']"
26,22700,Spurs,Watford,2018-04-28,"['KieranTrippier', 'DavinsonSanchez', 'JanVertonghen', 'BenDavies']","['AdrianMariappa', 'CraigCathcart', 'ChristianKabasele', 'JoseHolebas']"
27,22701,West Ham,Man City,2018-04-28,"['DeclanRice', 'AngeloOgbonna', 'PatriceEvra']","['KyleWalker', 'NicolasOtamendi', 'AymericLaporte', 'FabianDelph']"
28,22696,Man Utd,Arsenal,2018-04-28,"['LuisAntonioValencia', 'ChrisSmalling', 'VictorLindelof', 'AshleyYoung']","['HectorBellerin', 'CalumChambers', 'KonstantinosMavropanos', 'SeadKolasinac']"
29,22695,Liverpool,Stoke,2018-04-28,"['JosephGomez', 'VirgilvanDijk', 'RagnarKlavan', 'AlbertoMoreno']","['KurtZouma', 'RyanShawcross', 'BrunoMartinsIndi', 'ErikPieters']"
30,22692,Burnley,Brighton,2018-04-28,"['MatthewLowton', 'KevinLong', 'JamesTarkowski', 'StephenWard']","['Bruno', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']"
31,22693,Crystal Palace,Leicester,2018-04-28,"['JoelWard', 'JamesTomkins', 'MamadouSakho', 'PatrickvanAanholt']","['MarcAlbrighton', 'WesMorgan', 'HarryMaguire', 'BenChilwell']"
32,22694,Huddersfield,Everton,2018-04-28,"['FlorentHadergjonaj', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo']","['SeamusColeman', 'PhilJagielka', 'MichaelKeane', 'LeightonBaines']"
33,22697,Newcastle,West Brom,2018-04-28,"['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']","['AllanRomeoNyom', 'CraigDawson', 'AhmedHegazi', 'KieranGibbs']"
34,22698,Southampton,Bournemouth,2018-04-28,"['JanBednarek', 'MayaYoshida', 'WesleyHoedt']","['SimonFrancis', 'SteveCook', 'NathanAke']"
35,22699,Swansea,Chelsea,2018-04-28,"['KyleNaughton', 'MikevanderHoorn', 'AlfieMawson']","['CesarAzpilicueta', 'GaryCahill', 'AntonioRudiger']"
36,22686,Everton,Newcastle,2018-04-21,"['SeamusColeman', 'PhilJagielka', 'MichaelKeane', 'LeightonBaines']","['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']"
37,22682,Arsenal,West Ham,2018-04-21,"['HectorBellerin', 'ShkodranMustafi', 'LaurentKoscielny', 'NachoMonreal']","['DeclanRice', 'AngeloOgbonna', 'AaronCresswell']"
38,22689,Stoke,Burnley,2018-04-21,"['GlenJohnson', 'RyanShawcross', 'BrunoMartinsIndi', 'ErikPieters']","['MatthewLowton', 'KevinLong', 'JamesTarkowski', 'StephenWard']"
39,22688,Man City,Swansea,2018-04-21,"['Danilo', 'VincentKompany', 'AymericLaporte', 'FabianDelph']","['KyleNaughton', 'MikevanderHoorn', 'FedericoFernandez', 'AlfieMawson', 'MartinOlsson']"
40,22691,West Brom,Liverpool,2018-04-21,"['AllanRomeoNyom', 'CraigDawson', 'AhmedHegazi', 'KieranGibbs']","['JosephGomez', 'VirgilvanDijk', 'RagnarKlavan', 'AlbertoMoreno']"
41,22690,Watford,Crystal Palace,2018-04-21,"['AdrianMariappa', 'CraigCathcart', 'ChristianKabasele', 'JoseHolebas']","['JoelWard', 'JamesTomkins', 'MamadouSakho', 'PatrickvanAanholt']"
42,22643,Burnley,Chelsea,2018-04-14,"['MatthewLowton', 'KevinLong', 'JamesTarkowski', 'StephenWard']","['CesarAzpilicueta', 'GaryCahill', 'AntonioRudiger']"
43,22687,Leicester,Southampton,2018-04-14,"['MarcAlbrighton', 'AleksandarDragovic', 'HarryMaguire', 'BenChilwell']","['JanBednarek', 'MayaYoshida', 'WesleyHoedt']"
44,22683,Bournemouth,Man Utd,2018-04-14,"['SimonFrancis', 'SteveCook', 'NathanAke', 'CharlieDaniels']","['MatteoDarmian', 'ChrisSmalling', 'PhilJones', 'LukeShaw']"
45,22684,Brighton,Spurs,2018-04-14,"['Bruno', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']","['SergeAurier', 'TobyAlderweireld', 'JanVertonghen', 'BenDavies']"
46,22681,West Ham,Stoke,2018-04-14,"['DeclanRice', 'AngeloOgbonna', 'AaronCresswell']","['KurtZouma', 'RyanShawcross', 'BrunoMartinsIndi', 'ErikPieters']"
47,22680,Spurs,Man City,2018-04-14,"['KieranTrippier', 'DavinsonSanchez', 'JanVertonghen', 'BenDavies']","['KyleWalker', 'VincentKompany', 'AymericLaporte', 'FabianDelph']"
48,22677,Newcastle,Arsenal,2018-04-14,"['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']","['CalumChambers', 'ShkodranMustafi', 'RobHolding', 'NachoMonreal']"
49,22676,Man Utd,West Brom,2018-04-14,"['LuisAntonioValencia', 'ChrisSmalling', 'VictorLindelof', 'AshleyYoung']","['AllanRomeoNyom', 'CraigDawson', 'AhmedHegazi', 'KieranGibbs']"
50,22678,Southampton,Chelsea,2018-04-14,"['JanBednarek', 'MayaYoshida', 'WesleyHoedt']","['CesarAzpilicueta', 'AndreasChristensen', 'GaryCahill']"
51,22672,Burnley,Leicester,2018-04-14,"['MatthewLowton', 'KevinLong', 'JamesTarkowski', 'StephenWard']","['DannySimpson', 'WesMorgan', 'HarryMaguire', 'BenChilwell']"
52,22673,Crystal Palace,Brighton,2018-04-14,"['JoelWard', 'JamesTomkins', 'MamadouSakho', 'PatrickvanAanholt']","['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']"
53,22674,Huddersfield,Watford,2018-04-14,"['FlorentHadergjonaj', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo']","['DarylJanmaat', 'SebastianProdl', 'CraigCathcart', 'AdrianMariappa']"
54,22679,Swansea,Everton,2018-04-14,"['KyleNaughton', 'FedericoFernandez', 'AlfieMawson', 'MartinOlsson']","['SeamusColeman', 'PhilJagielka', 'MichaelKeane', 'LeightonBaines']"
55,22675,Liverpool,Bournemouth,2018-04-14,"['TrentAlexanderArnold', 'DejanLovren', 'VirgilvanDijk', 'AndrewRobertson']","['RyanFraser', 'SimonFrancis', 'SteveCook', 'NathanAke', 'CharlieDaniels']"
56,22662,Arsenal,Southampton,2018-04-07,"['HectorBellerin', 'ShkodranMustafi', 'CalumChambers', 'SeadKolasinac']","['JackStephens', 'MayaYoshida', 'WesleyHoedt']"
57,22665,Chelsea,West Ham,2018-04-07,"['CesarAzpilicueta', 'GaryCahill', 'AntonioRudiger']","['DeclanRice', 'AngeloOgbonna', 'AaronCresswell']"
58,22666,Everton,Liverpool,2018-04-07,"['SeamusColeman', 'PhilJagielka', 'MichaelKeane', 'LeightonBaines']","['NathanielClyne', 'DejanLovren', 'VirgilvanDijk', 'RagnarKlavan']"
59,22663,Bournemouth,Crystal Palace,2018-04-07,"['SimonFrancis', 'SteveCook', 'NathanAke', 'CharlieDaniels']","['AaronWanBissaka', 'JamesTomkins', 'MamadouSakho', 'PatrickvanAanholt']"
60,22664,Brighton,Huddersfield,2018-04-07,"['EzequielSchelotto', 'ShaneDuffy', 'LewisDunk', 'GaetanBong']","['FlorentHadergjonaj', 'Zanka', 'ChristopherSchindler', 'TerenceKongolo']"
61,22667,Leicester,Newcastle,2018-04-07,"['DannySimpson', 'WesMorgan', 'HarryMaguire', 'BenChilwell']","['DeAndreYedlin', 'JamaalLascelles', 'FlorianLejeune', 'PaulDummett']"
62,22669,Stoke,Spurs,2018-04-07,"['GlenJohnson', 'RyanShawcross', 'BrunoMartinsIndi', 'ErikPieters']","['SergeAurier', 'DavinsonSanchez', 'JanVertonghen', 'DannyRose']"
63,22670,Watford,Burnley,2018-04-07,"['DarylJanmaat', 'SebastianProdl', 'AdrianMariappa', 'JoseHolebas']","['MatthewLowton', 'KevinLong', 'JamesTarkowski', 'StephenWard']"
64,22671,West Brom,Swansea,2018-04-07,"['AllanRomeoNyom', 'CraigDawson', 'AhmedHegazi', 'KieranGibbs']","['KyleNaughton', 'MikevanderHoorn', 'FedericoFernandez', 'AlfieMawson', 'MartinOlsson']"
